,title,runner,platform,release_date,minutes
90,Castlevania: Rondo of Blood,"Skavenger216, Komrade",PC,1993-10-29,17.0
91,Castlevania: Portrait of Ruin,romscout,DS,2006-12-05,40.0
92,Mega Man Network Transmission,soothingplumtea,GameCube,2003-06-17,67.0
93,Mega Man X,"Domalix, Calebhart42, CrystalUnclear, Walrus_prime",SNES,1993-12-17,40.0
94,Mighty No. 9,GreenZSaber,PS4,2016-06-21,60.0
95,Halo 2,Cryphon,Xbox,2004-11-09,110.0
96,Batman: Arkham City,BubblesDelFuego,PC,2011-10-18,93.0
97,Batman Forever,"PJ, Klaige",SNES,1995-05-05,50.0
98,Timecop,Omnigamer,SNES,1995-02-17,27.0
99,Cool World,Mecha Richter,SNES,1992-12-31,11.0
100,The Adventures of Rocky and Bullwinkle and Friends,authorblues,NES,1993-02-28,30.0
101,Dragon's Lair,SCXCR,NES,1983-07-01,18.0
102,A Nightmare on Elm Street,"Skavenger216, feasel, JamEvil, Cantaloupeme",NES,1989-12-31,26.0
103,Cheetahmen (Action 52),huey,NES,2011-11-11,9.0
104,King of Kings: The Early Years,Linkums,NES,1991-12-31,8.0
105,T&C 2: Thrilla's Surfari,WhiteHat94,NES,1992-03-31,16.0
106,Wayne's World,WhiteHat94,NES,1993-02-18,10.0
107,Big Nose the Caveman,LackAttack24,NES,1993-12-31,28.0
108,Catechumen,peaches_,PC,2000-12-31,30.0
109,WolfQuest,Brossentia,PC,2007-12-31,22.0
110,Cornerstone: The Song of Tyrim,DrTChops,PC,2016-04-26,35.0
111,Turok: Dinosaur Hunter,Bawkbasoup,N64,1997-02-28,40.0
112,Left 4 Dead 1,"mr.deagle, The Master",PC,2008-11-18,70.0
113,007: Nightfire,Ian Kies,PS2,2002-11-18,50.0
114,Trauma Center: New Blood,"Irisjoker, Slurpeeninja",Wii,2007-11-20,110.0
115,The Legend of Korra,DolphinDasher,PS4,2014-10-21,42.0
116,Sonic Advance 2,Kirbymastah,GBA,2002-12-19,32.0
117,Sonic R,Keverage,Saturn,1997-11-18,19.0
118,Sonic Adventure 2: Battle,Seraphim1313,GameCube,2002-02-12,45.0
119,Kirby's Dream Land 3,"swordsmankirby, suzuribaco",SNES,1998-03-26,100.0
120,The Legend of Zelda: A Link to the Past,"Andy, BluntBunny, JoeDamillio, Xelna",SNES,1991-11-21,90.0
121,Paper Mario: The Thousand-Year Door,"Almo, Sjorec",N64,2004-10-11,210.0
122,The Legend of Dark Witch - Episode 2,Crippe,3DS,2015-11-04,30.0
123,Grief Syndrome,PX_,PC,2011-08-13,22.0
124,La-Mulana Remake,RaindropDry,Wii,2005-05-27,120.0
125,Titan Souls,Zic3,PC,2015-04-14,22.0
126,Bleed,Studio,PC,2012-12-12,20.0
127,Flywrench,"killingpepsi, SsupNerds",PC,2007-01-16,35.0
128,Human: Fall Flat,Bullets,PC,2016-07-22,12.0
129,Action Henk,badBlackShark,PC,2015-05-11,20.0
130,Refunct,097Aceofspades,PC,2015-10-16,5.0
131,Woolfe: The Red Hood Diaries,RandomPinkBunny,PC,2015-03-17,25.0
132,DuckTales,"Endy, garadas21",NES,1989-09-14,9.0
133,Star Wars: Shadows of the Empire,glasnonck,N64,1996-12-03,55.0
134,Super Star Wars: Return of the Jedi,Striker,Commodore 64,1994-10-31,45.0
135,Metal Slug 3,Jackafur,PS4,2000-06-01,35.0
136,Contra,"TheMexicanRunner, Toad22484",NES,1987-02-20,12.0
137,Super C,Toad22484,NES,1987-12-31,18.0
138,Contra 4,Mr. K,DS,2007-11-13,35.0
139,Crash Bandicoot 2: Cortex Strikes Back,SwordofSeals,PS1,1997-10-31,85.0
140,Crash Team Racing,Natty,PS1,1999-09-30,57.0
141,Sly Cooper and the Thievius Raccoonus,tHmCS,PS2,2002-09-23,65.0
142,Jak and Daxter: The Precursor Legacy,headstrong1290,PS2,2001-12-04,40.0
143,Ratchet & Clank: Going Commando,"Xem, Skitz",PS2,2003-11-11,40.0
144,Kirby Super Star,"Countdown42, usedpizza, zzzhonki, suzuribaco",SNES,1996-03-21,80.0
145,Donkey Kong Country Trilogy Relay,"Eazinn, V0oid, Nocturne_, Fathlo23, Silent Wolf, Supreme, Kanis999, waffle42, suzuribaco",SNES,1994-11-25,151.0
146,Grand Theft Auto: Vice City,KZ_FREW,PS2,2002-10-27,65.0
147,Super Mario 3D Land,Kosmicd12,3DS,2011-11-13,65.0
148,The Legend of Zelda: The Minish Cap,DbX,GBA,2004-11-04,130.0
149,Fire Emblem: Blazing Sword,Kirbymastah,GBA,2003-04-25,95.0
150,Disney's Extreme Skate Adventure,Six,PS2,2003-09-03,23.0
151,Pitfall: the Mayan Adventure,Le Hulk,SNES,1994-11-30,15.0
152,Tiny Toon Adventures,garadas21,NES,1991-12-31,16.0
153,Tom and Jerry,R3DninjaJOSH,NES,1993-04-30,15.0
154,Darkwing Duck,TheMexicanRunner,NES,1992-06-30,15.0
155,SpongeBob SquarePants: Battle for Bikini Bottom,SHiFT,PS2,2003-10-31,70.0
156,Super Mario Galaxy 2,Vallu,Wii,2010-05-23,195.0
157,TASBot plays Donkey Kong Country,dwangoAC,SNES,1994-11-25,20.0
158,Dark Souls 3,BubblesDelFuego,PC,2016-04-12,62.0
159,The Legend of Zelda: The Wind Waker HD,Linkus7,WiiU,2013-09-20,240.0
160,Super Metroid,"zoast, Ivan, Behemoth87, WildAnaconda69",SNES,1994-03-19,80.0
161,Undertale,TGH,PC,2015-09-15,105.0
